Ring Name,dHf_298,S_inf_298,PubchemCID,SMILES,Source
Oxolane,5.9,,8028,C1CCOC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Oxane,0.5,,8894,C1CCOCC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
1[c]3-dioxane,0.2,,10450,C1COCOC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
1[c]4-dioxane,3.3,,31275,C1COCCO1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
1[c]3[c]5-trioxane,6.6,,8081,C1OCOCO1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
2[c]3-Dihydrofuran,4.7,,70934,C1COC=C1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
1[c]3-dioxolane,6,,12586,C1COCO1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Oxole,0,,8029,C1=COC=C1,"No ring correction for aromatic rings"
Dihydropyran,1.2,,8080,C1CC=COC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Succinic Anhydride,4.5,,7922,C1CC(=O)OC1=O,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Glutaric Anhydride,0.8,,7940,C1CC(=O)OC(=O)C1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Maleic Anhydride,3.6,,7923,C1=CC(=O)OC1=O,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Benzodioxole,16.6,,9229,C1OC2=CC=CC=C2O1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
1[c]4-Benzodioxan,2,,10301,C1COC2=CC=CC=C2O1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Xanthene,2.3,,7107,C1C2=CC=CC=C2OC3=CC=CC=C31,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Dibenzofuran,11.4,,568,C1=CC=C2C(=C1)C3=CC=CC=C3O2,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
2-decalone[c] cis,15.3,,246289,C1CC[C@@H]2CC(=O)CC[C@@H]2C1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
2-decalone[c] trans,20.9,,85944,C1CC[C@@H]2CC(=O)CC[C@H]2C1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Beta-propiolactone,23.9,,2365,C1COC1=O,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Diketene,22,,12661,C=C1CC(=O)O1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclobutanone,22.6,,14496,C1CC(=O)C1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclopentanone,5.2,,8452,C1CCC(=O)C1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclohexanone,2.2,,7967,C1CCC(=O)CC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cycloheptanone,2.3,,10400,C1CCCC(=O)CC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclooctanone,1.5,,10403,C1CCCC(=O)CCC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclononanone,4.7,,76877,C1CCCCC(=O)CCC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclodecanone,3.6,,73918,C1CCCCC(=O)CCCC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cycloundecanone,4.4,,13420,C1CCCCCC(=O)CCCC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Cyclododecanone,3,,13246,C1CCCCCC(=O)CCCCC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Ethyleneimine,27.7,31.6,9033,C1CN1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Azetidine,26.2,29.3,10422,C1CNC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Pyrrolidine,6.8,26.7,31268,C1CCNC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Piperidine,1,,8082,C1CCNCC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Triethylenediamine,3.4,,9237,C1CN2CCN1CC2,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Succinimide,8.5,,11439,C1CC(=O)NC1=O,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Thiirane,17.7,29.5,9865,C1CS1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Thietane,19.4,27.2,9251,C1CSC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Thiolane,1.7,23.6,1127,C1CCSC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Thiane,0,16.1,15367,C1CCSCC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Thiepane,3.9,,78493,C1CCCSCC1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
2[c]5-Dihydrothiophene,5,,137168,C1C=CCS1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
2[c]3-Dihydrothiophene,2,,136880,C1CSC=C1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Sulfolene,5.7,,6498,C1C=CCS1(=O)=O,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
Thiophene,-16.3,23.6,8030,C1=CSC=C1,"Benson, Sidney William. Thermochemical kinetics: methods for the estimation of thermochemical data and rate parameters. (1976)."
